Name,Country,Position,Goals,Assists,Tackles,Saves,Club,League,League_Website
Saad Al Sheeb,Qatar,GK,0,0,0,0,Al-Sadd,Unknown,Unknown
Meshaal Barsham,Qatar,GK,0,0,0,0,Al-Sadd,Unknown,Unknown
Yousuf Hassan,Qatar,GK,0,0,0,0,Al-Gharafa,Unknown,Unknown
Pedro Miguel,Qatar,DF,0,0,0,0,Al-Sadd,Unknown,Unknown
Musaab Khidir,Qatar,DF,0,0,0,0,Al-Sadd,Unknown,Unknown
Tarek Salman,Qatar,DF,0,0,0,0,Al-Sadd,Unknown,Unknown
Bassam Al Rawi,Qatar,DF,0,0,0,0,Al-Duhail,Unknown,Unknown
Boualem Khoukhi,Qatar,DF,0,0,0,0,Al-Sadd,Unknown,Unknown
Abdelkarim Hassan,Qatar,DF,0,0,0,0,Al-Sadd,Unknown,Unknown
Homam Al Amin,Qatar,DF,0,0,0,0,Al-Gharafa,Unknown,Unknown
Jassim Gabir,Qatar,DF,0,0,0,0,Al-Arabi,Unknown,Unknown
Ali Asad,Qatar,MF,0,0,0,0,Al-Sadd,Unknown,Unknown
Assim Madibo,Qatar,MF,0,0,0,0,Al-Duhail,Unknown,Unknown
Mohammed Waad,Qatar,MF,0,0,0,0,Al-Sadd,Unknown,Unknown
Salem Al Hajri,Qatar,MF,0,0,0,0,Al-Sadd,Unknown,Unknown
Mustafa Meshaal,Qatar,MF,0,0,0,0,Al-Sadd,Unknown,Unknown
Karim Boudiaf,Qatar,MF,0,0,0,0,Al-Duhail,Unknown,Unknown
Abdulaziz Hatim,Qatar,MF,0,0,0,0,Al-Rayyan,Unknown,Unknown
Ismaeel Mohammad,Qatar,MF,0,0,0,0,Al-Duhail,Unknown,Unknown
Naif Al Hadhrami,Qatar,FW,0,0,0,0,Al-Rayyan,Unknown,Unknown
Ahmed Alaa,Qatar,FW,0,0,0,0,Al-Gharafa,Unknown,Unknown
Hassan Al Haydos,Qatar,FW,0,0,0,0,Al-Sadd,Unknown,Unknown
Khalid Muneer,Qatar,FW,0,0,0,0,Al-Wakrah,Unknown,Unknown
Akram Afif,Qatar,FW,0,0,0,0,Al-Sadd,Unknown,Unknown
Almoez Ali,Qatar,FW,0,0,0,0,Al-Duhail,Unknown,Unknown
Mohammed Muntari,Qatar,FW,0,0,0,0,Al-Duhail,Unknown,Unknown
Alexander Dominguez,Ecuador,GK,0,0,0,0,Liga de Quito,Unknown,Unknown
Hernan Galindez,Ecuador,GK,0,0,0,0,Aucas,Unknown,Unknown
Moises Ramirez,Ecuador,GK,0,0,0,0,Independiente del Valle,Unknown,Unknown
Pervis Estupinan,Ecuador,DF,0,0,0,0,Brighton & Hove Albion,Unknown,Unknown
Angelo Preciado,Ecuador,DF,0,0,0,0,Gent,Unknown,Unknown
Piero Hincapie,Ecuador,DF,0,0,0,0,Bayer Leverkusen,Unknown,Unknown
Xavier Arreaga,Ecuador,DF,0,0,0,0,Seattle Sounders,Unknown,Unknown
Diego Palacios,Ecuador,DF,0,0,0,0,Los Angeles FC,Unknown,Unknown
Jackson Porozo,Ecuador,DF,0,0,0,0,Troyes,Unknown,Unknown
Robert Arboleda,Ecuador,DF,0,0,0,0,Sao Paulo,Unknown,Unknown
Felix Torres,Ecuador,DF,0,0,0,0,Santos Laguna,Unknown,Unknown
William Pacho,Ecuador,DF,0,0,0,0,Royal Antwerp FC,Unknown,Unknown
Moises Caicedo,Ecuador,MF,0,0,0,0,Brighton,Unknown,Unknown
Jose Cifuentes,Ecuador,MF,0,0,0,0,Los Angeles FC,Unknown,Unknown
Alan Franco,Ecuador,MF,0,0,0,0,Talleres,Unknown,Unknown
Jhegson Mendez,Ecuador,MF,0,0,0,0,Los Angeles FC,Unknown,Unknown
Carlos Gruezo,Ecuador,MF,0,0,0,0,Augsburg,Unknown,Unknown
Gonzalo Plata,Ecuador,MF,0,0,0,0,Valladolid,Unknown,Unknown
Angel Mena,Ecuador,MF,0,0,0,0,Leon,Unknown,Unknown
Ayrton Preciado,Ecuador,MF,0,0,0,0,Santos Laguna,Unknown,Unknown
Romario Ibarra,Ecuador,MF,0,0,0,0,Pachuca,Unknown,Unknown
Jeremy Sarmiento,Ecuador,MF,0,0,0,0,Brighton,Unknown,Unknown
Enner Valencia,Ecuador,FW,0,0,0,0,Fenerbahce,Unknown,Unknown
Michael Estrada,Ecuador,FW,0,0,0,0,Cruz Azul,Unknown,Unknown
Djorkaeff Reasco,Ecuador,FW,0,0,0,0,Newell's Old Boys,Unknown,Unknown
Kevin Rodriguez,Ecuador,FW,0,0,0,0,Imbabura SC,Unknown,Unknown
Seny Dieng,Senegal,GK,0,0,0,0,Queens Park Rangers,Unknown,Unknown
Alfred Gomis,Senegal,GK,0,0,0,0,Stade Rennes,Unknown,Unknown
Eduoard Mendy,Senegal,GK,0,0,0,0,Chelsea,Unknown,Unknown
Fode Ballo Toure,Senegal,DF,0,0,0,0,AC Milan,Unknown,Unknown
Pape Abou Cisse,Senegal,DF,0,0,0,0,Olympiakos,Unknown,Unknown
Abdou Diallo,Senegal,DF,0,0,0,0,RB Leipzig,Unknown,Unknown
Ismail Jakobs,Senegal,DF,0,0,0,0,Monaco,Unknown,Unknown
Kalidou Koulibaly,Senegal,DF,0,0,0,0,Chelsea,Unknown,Unknown
Formose Mendy,Senegal,DF,0,0,0,0,Amiens,Unknown,Unknown
Youssouf Sabaly,Senegal,DF,0,0,0,0,Real Betis,Unknown,Unknown
Pathe Ismael Ciss,Senegal,MF,0,0,0,0,Rayo Vallecano Krepin Diatta,Unknown,Unknown
Idrissa Gana Gueye,Senegal,MF,0,0,0,0,Everton,Unknown,Unknown
Pape Gueye,Senegal,MF,0,0,0,0,Olympique Marseille,Unknown,Unknown
Cheikhou Kouyate,Senegal,MF,0,0,0,0,Nottingham Forest,Unknown,Unknown
Mamdou Loum,Senegal,MF,0,0,0,0,Reading,Unknown,Unknown
Nampalys Mendy,Senegal,MF,0,0,0,0,Leicester City,Unknown,Unknown
Moustapha Name,Senegal,MF,0,0,0,0,Pafos FC,Unknown,Unknown
Pape Matar Sarr,Senegal,MF,0,0,0,0,Tottenham Hotspur,Unknown,Unknown
Boulaye Dia,Senegal,FW,0,0,0,0,Salernitana,Unknown,Unknown
Famara Diedhiou,Senegal,FW,0,0,0,0,Alanyaspor,Unknown,Unknown
Bamba Dieng,Senegal,FW,0,0,0,0,Olympique Marseille,Unknown,Unknown
Nicolas Jackson,Senegal,FW,0,0,0,0,Villarreal,Unknown,Unknown
Ilimane Ndiaye,Senegal,FW,0,0,0,0,Sheffield United,Unknown,Unknown
Ismaila Sarr,Senegal,FW,0,0,0,0,Watford,Unknown,Unknown
Justin Bijlow,Netherlands,GK,0,0,0,0,Feyenoord,Unknown,Unknown
Andries Noppert,Netherlands,GK,0,0,0,0,Heerenveen,Unknown,Unknown
Remko Pasveer,Netherlands,GK,0,0,0,0,Ajax Amsterdam,Unknown,Unknown
Nathan Ake,Netherlands,DF,0,0,0,0,Manchester City,Unknown,Unknown
Daley Blind,Netherlands,DF,0,0,0,0,Ajax,Unknown,Unknown
Virgil van Dijk,Netherlands,DF,0,0,0,0,Liverpool,Unknown,Unknown
Denzel Dumfries,Netherlands,DF,0,0,0,0,Internazionale,Unknown,Unknown
Jeremie Frimpong,Netherlands,DF,0,0,0,0,Bayer Leverkusen,Unknown,Unknown
Matthijs de Ligt,Netherlands,DF,0,0,0,0,Bayern Munchen,Unknown,Unknown
Tyrell Malacia,Netherlands,DF,0,0,0,0,Manchester United,Unknown,Unknown
Jurrien Timber,Netherlands,DF,0,0,0,0,Ajax,Unknown,Unknown
Stefan de Vrij,Netherlands,DF,0,0,0,0,Internazionale,Unknown,Unknown
Steven Berghuis,Netherlands,MF,0,0,0,0,Ajax,Unknown,Unknown
Frenkie de Jong,Netherlands,MF,0,0,0,0,Barcelona,Unknown,Unknown
Davy Klaassen,Netherlands,MF,0,0,0,0,Ajax,Unknown,Unknown
Teun Koopmeiners,Netherlands,MF,0,0,0,0,Atalanta Bergamo,Unknown,Unknown
Marten de Roon,Netherlands,MF,0,0,0,0,Atalanta Bergamo,Unknown,Unknown
Xavi Simons,Netherlands,MF,0,0,0,0,PSV Eindhoven,Unknown,Unknown
Kenneth Taylor,Netherlands,MF,0,0,0,0,Ajax,Unknown,Unknown
Steven Bergwijn,Netherlands,FW,0,0,0,0,Ajax,Unknown,Unknown
Memphis Depay,Netherlands,FW,0,0,0,0,Barcelona,Unknown,Unknown
Cody Gakpo,Netherlands,FW,0,0,0,0,PSV,Unknown,Unknown
Vincent Janssen,Netherlands,FW,0,0,0,0,Antwerp,Unknown,Unknown
Luuk de Jong,Netherlands,FW,0,0,0,0,PSV,Unknown,Unknown
Noah Lang,Netherlands,FW,0,0,0,0,Club Brugge,Unknown,Unknown
Wout Weghorst,Netherlands,FW,0,0,0,0,Besiktas,Unknown,Unknown
Jordan Pickford,England,GK,0,0,0,0,Everton,Unknown,Unknown
Aaron Ramsdale,England,GK,0,0,0,0,Arsenal,Unknown,Unknown
Nick Pope,England,GK,0,0,0,0,Newcastle,Unknown,Unknown
Kieran Trippier,England,DF,0,0,0,0,Newcastle,Unknown,Unknown
Trent Alexander-Arnold,England,DF,0,0,0,0,Liverpool,Unknown,Unknown
Kyle Walker,England,DF,0,0,0,0,Man City,Unknown,Unknown
Benjamin White,England,DF,0,0,0,0,Arsenal,Unknown,Unknown
Harry Maguire,England,DF,0,0,0,0,Man Utd,Unknown,Unknown
John Stones,England,DF,0,0,0,0,Man City,Unknown,Unknown
Eric Dier,England,DF,0,0,0,0,Tottenham,Unknown,Unknown
Conor Coady,England,DF,0,0,0,0,Everton,Unknown,Unknown
on loan from Wolves),England,DF,0,0,0,0,Everton,Unknown,Unknown
Luke Shaw,England,DF,0,0,0,0,Man Utd,Unknown,Unknown
Declan Rice,England,MF,0,0,0,0,West Ham,Unknown,Unknown
Jude Bellingham,England,MF,0,0,0,0,Borussia Dortmund,Unknown,Unknown
Kalvin Phillips,England,MF,0,0,0,0,Man City,Unknown,Unknown
Jordan Henderson,England,MF,0,0,0,0,Liverpool,Unknown,Unknown
Conor Gallagher,England,MF,0,0,0,0,Chelsea,Unknown,Unknown
Mason Mount,England,MF,0,0,0,0,Chelsea,Unknown,Unknown
Harry Kane,England,FW,0,0,0,0,Tottenham,Unknown,Unknown
Callum Wilson,England,FW,0,0,0,0,Newcastle,Unknown,Unknown
Marcus Rashford,England,FW,0,0,0,0,Man Utd,Unknown,Unknown
Raheem Sterling,England,FW,0,0,0,0,Chelsea,Unknown,Unknown
Bukayo Saka,England,FW,0,0,0,0,Arsenal,Unknown,Unknown
Phil Foden,England,FW,0,0,0,0,Man City,Unknown,Unknown
Jack Grealish,England,FW,0,0,0,0,Man City,Unknown,Unknown
James Maddison,England,FW,0,0,0,0,Leicester City,Unknown,Unknown
Alireza Beiranvand,Iran,GK,0,0,0,0,Persepolis,Unknown,Unknown
Hossein Hosseini,Iran,GK,0,0,0,0,Esteghlal,Unknown,Unknown
Payam Niazmand,Iran,GK,0,0,0,0,Sepahan,Unknown,Unknown
Amir Abedzadeh,Iran,GK,0,0,0,0,Ponferradina,Unknown,Unknown
Ramin Rezaeian,Iran,DF,0,0,0,0,Sepahan,Unknown,Unknown
Abolfazl Jalali,Iran,DF,0,0,0,0,Esteghlal,Unknown,Unknown
Hossein Kananizadegan,Iran,DF,0,0,0,0,Al Ahli SC,Unknown,Unknown
Shoja Khalilzadeh,Iran,DF,0,0,0,0,Al Ahli SC,Unknown,Unknown
Mortza Pouraliganji,Iran,DF,0,0,0,0,Persepolis,Unknown,Unknown
Majid Hosseini,Iran,DF,0,0,0,0,Kayserispor,Unknown,Unknown
Sadegh Moharrami,Iran,DF,0,0,0,0,Dinamo Zagreb,Unknown,Unknown
Milad Mohammadi,Iran,DF,0,0,0,0,AEK,Unknown,Unknown
Ehsan Hajisafi,Iran,DF,0,0,0,0,AEK,Unknown,Unknown
Saeid Ezatolahi,Iran,MF,0,0,0,0,Vejle Boldklub,Unknown,Unknown
